"subject","trial_number","Cross_position","Circle_1","Position_1","Color_1","Circle_2","Position_2","Color_2","Position_3","Color_3","Position_4","Color_4","p_confidence","response_time","angle_1","angle_2","angle_3","angle_4","angle_1_cue","angle_2_cue","angle_3_cue","angle_4_cue"
"188985661","1","0","-1","-33.4373206117743109189","5","1","56.5626793882256890811","5","146.5626793882256890811","3","236.5626793882256890811","3","2","2693","-33.4373206117743109189","146.5626793882256890811","56.5626793882256890811","236.5626793882256890811","56.5626793882256890811","236.5626793882256890811","146.5626793882256890811","326.5626793882256606594"
"188985661","2","0","-1","103.2343658533027337398","4","1","193.2343658533027337398","4","283.2343658533027337398","4","373.2343658533027337398","9","2","2420","103.2343658533027337398","283.2343658533027337398","193.2343658533027337398","373.2343658533027337398","193.2343658533027337398","373.2343658533027337398","283.2343658533027337398","463.2343658533027337398"
"188985661","3","0","-1","81.1124486059677565208","1","1","171.1124486059677565208","5","261.1124486059677565208","4","351.1124486059677565208","2","6","1615","81.1124486059677565208","261.1124486059677565208","171.1124486059677565208","351.1124486059677565208","171.1124486059677565208","351.1124486059677565208","261.1124486059677565208","441.1124486059677565208"
"188985661","4","0","-1","-8.5401698082080486074","6","-1","171.4598301917919513926","8","81.4598301917919513926","9","261.4598301917919798143","5","5","1593","-8.5401698082080486074","171.4598301917919513926","81.4598301917919513926","261.4598301917919798143","81.4598301917919513926","261.4598301917919798143","171.4598301917919513926","351.4598301917919798143"
"188985661","5","0","-1","-103.4944325041711437052","5","1","-13.4944325041711437052","6","76.5055674958288562948","3","166.5055674958288705056","7","6","1418","-103.4944325041711437052","76.5055674958288562948","-13.4944325041711437052","166.5055674958288705056","-13.4944325041711437052","166.5055674958288705056","76.5055674958288562948","256.5055674958288705056"
"188985661","6","0","-1","-120.7782282356122038891","4","-1","59.2217717643877961109","5","-30.7782282356122038891","6","149.2217717643877961109","1","2","2334","-120.7782282356122038891","59.2217717643877961109","-30.7782282356122038891","149.2217717643877961109","-30.7782282356122038891","149.2217717643877961109","59.2217717643877961109","239.2217717643877961109"
"188985661","7","0","-1","-44.7245116216886060556","4","1","45.2754883783113939444","2","135.2754883783113939444","1","225.2754883783113939444","6","7","1555","-44.7245116216886060556","135.2754883783113939444","45.2754883783113939444","225.2754883783113939444","45.2754883783113939444","225.2754883783113939444","135.2754883783113939444","315.2754883783113655227"
"188985661","8","0","-1","-158.8961508914120770442","3","1","-68.8961508914120770442","3","21.1038491085879229558","5","111.1038491085879229558","7","1","1403","-158.8961508914120770442","21.1038491085879229558","-68.8961508914120770442","111.1038491085879229558","-68.8961508914120770442","111.1038491085879229558","21.1038491085879229558","201.1038491085879229558"
"188985661","9","0","1","166.2509280853557811497","8","1","346.2509280853557811497","4","76.2509280853557811497","5","256.2509280853557811497","2","7","1410","76.2509280853557811497","256.2509280853557811497","166.2509280853557811497","346.2509280853557811497","166.2509280853557811497","346.2509280853557811497","256.2509280853557811497","436.2509280853557811497"
"188985661","10","0","-1","-59.2023335022857253307","2","1","30.7976664977142746693","6","120.7976664977142746693","8","210.7976664977142604585","7","2","5770","-59.2023335022857253307","120.7976664977142746693","30.7976664977142746693","210.7976664977142604585","30.7976664977142746693","210.7976664977142604585","120.7976664977142746693","300.7976664977142604585"
"188985661","11","0","1","-86.8755876731303544602","9","1","93.1244123268696455398","2","-176.8755876731303544602","7","3.1244123268696455398","3","6","1494","-176.8755876731303544602","3.1244123268696455398","-86.8755876731303544602","93.1244123268696455398","-86.8755876731303544602","93.1244123268696455398","3.1244123268696455398","183.1244123268696455398"
"188985661","12","0","-1","-9.821988025173055803","6","-1","170.178011974826944197","6","80.178011974826944197","1","260.1780119748269726188","6","1","1844","-9.821988025173055803","170.178011974826944197","80.178011974826944197","260.1780119748269726188","80.178011974826944197","260.1780119748269726188","170.178011974826944197","350.1780119748269726188"
"188985661","13","0","-1","-0.8786974989061206998","8","1","89.1213025010938793002","7","179.1213025010938793002","5","269.1213025010938508785","7","2","1885","-0.8786974989061206998","179.1213025010938793002","89.1213025010938793002","269.1213025010938508785","89.1213025010938793002","269.1213025010938508785","179.1213025010938793002","359.1213025010938508785"
"188985661","14","0","1","222.3408003040451603738","8","1","402.3408003040451603738","5","132.3408003040451603738","1","312.3408003040451603738","6","4","1735","132.3408003040451603738","312.3408003040451603738","222.3408003040451603738","402.3408003040451603738","222.3408003040451603738","402.3408003040451603738","312.3408003040451603738","492.3408003040451603738"
"188985661","15","0","-1","55.4322723102365273462","4","-1","235.4322723102365273462","3","145.4322723102365273462","9","325.4322723102364989245","1","1","1741","55.4322723102365273462","235.4322723102365273462","145.4322723102365273462","325.4322723102364989245","145.4322723102365273462","325.4322723102364989245","235.4322723102365273462","415.4322723102364989245"
